Timestamp,course,ccm_website,social_media,community_event,family_friend_referral,current_student,alumni,hs_teacher,hs_counselor,app_advertisement,employer,billboard,tv,radio,mailer,other_ref,To what extent did the following impact your decision to attend County College of Morris? [Affordable cost],convenient_location,school_programs,online_offers,family_friend_impact,faculty_staff,reputation,financial_aid,scholarships,class_size,extra_curriculars,transfer_credits,negative_other_college_experience,nj_stars,credit_transferability,hs_college_credit,instant_decision_day,titans_tuesday,college_fair_regional,challenger_program,hs_info_session,individual_campus_visit,corporate_training,CCM_summer_camp,hs_computing_class,computing_competitions,summer_computing_club,dual_enrollment_computing,family_in_computing_field,employer_impact,work_xp_impact,current_degree,bachelors_prog,HS_transfer_credits,career_progress,career_change,pro_development,job_displacement,relocation,stay_updated,IT_industry_cert,financial_motivation,personal_motivation,info_from_counselor,info_from_teacher,ccm_it_website,info_from_admissions,info_from_advisor,info_from_employer,ccm_workforce_dev,nj_workforce_dev,info_from_misc,first_choice_major,interest_level,interest_in_computing,gender,race,Age 
2022/10/14 12:36:39 PM EST,CMP 239 Internet & Web Page Design,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Yes,Yes,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,,High Impact,,High Impact,,,High Impact,Computer Science,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Yes,First Choice,,,Man,Hispanic/Latino,35-64
2022/10/14 12:54:09 PM EST,CMP 128 Computer Science I,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,High Impact,Some Impact,,,,,,Mechanical engineer of technology,,,,,,,,,,,,,,,,,,,,,,3.0,i like to work in the computer but i like to work moving around. i do not really like to be sitting down all day in front a computer,Man,Hispanic/Latino,21-24
2022/10/16 9:24:38 PM EST,CMP 128 Computer Science I,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,No,Yes,No,No,No,Yes,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Information Technology,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,First Choice,,,Man,White,21-24
2022/10/17 8:35:51 AM EST,CMP 128 Computer Science I,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,Information Technology,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,First Choice,,,Woman,Multi-Racial,19-20
2022/10/17 8:36:50 AM EST,CMP 128 Computer Science I,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,No Impact,,Some Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,,Some Impact,,Some Impact,,No,No,No,No,No,No,No,No,,Some Impact,Some Impact,,Some Impact,,,CIS Game Development Option,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,First Choice,,,Woman,White,19-20
2022/10/17 8:38:45 AM EST,CMP 128 Computer Science I,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,,High Impact,,No,No,No,No,No,No,No,No,,,,,,,,Computer Science,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Don't recall,No,No,No,No,Business,,,Man,Hispanic/Latino,25-34
2022/10/17 8:39:05 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Don't recall,Don't recall,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No,Yes,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Undecided,,,,,,,,,,,,,,,,,,,,,,5.0,I would be interesting to start another class since it would allow me to learn more specific skills in the field.,Man,White,19-20
2022/10/17 8:39:37 AM EST,CMP 128 Computer Science I,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,High Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Undecided,,,,,,,,,,,,,,,,,,,,,,3.0,I'm moderately interested but do not need anymore credits,Man,White,21-24
2022/10/17 8:39:49 AM EST,CMP 128 Computer Science I,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Computer Science,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Business,,,Man,Black,19-20
2022/10/17 8:40:01 AM EST,CMP 128 Computer Science I,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Computer Science,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Don't recall,First Choice,,,Man,White,19-20
